substantiated,mos_age_incident,Officer_Female,Officer_Male,Officer_American Indian,Officer_Asian,Officer_Black,Officer_Hispanic,Officer_White,Captain,Deputy Inspector,Detective,Inspector,Lieutenant,Police Officer,Sergeant,processing_days,Abuse of Authority,Discourtesy,Force,Offensive Language,complainant_age_incident,complainant_Female,complainant_Gender non-conforming,complainant_Male,complainant_Not described,complainant_Transman (FTM),complainant_Transwoman (MTF),complainant_American Indian,complainant_Asian,complainant_Black,complainant_Hispanic,complainant_Other Race,complainant_Refused,complainant_Unknown,complainant_White
0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,153,1,0,0,0,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,34,0,1,0,0,0,0,1,0,0,0,0,0,0,1,153,1,0,0,0,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,32,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,29.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,123,1,0,0,0,46.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,123,1,0,0,0,46.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,0,1,0,0,0,0,0,1,0,123,1,0,0,0,46.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,1,0,0,0,37.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,274,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,274,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,0,1,0,0,0,0,1,0,0,0,0,0,1,0,274,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,26,0,1,0,0,0,0,1,0,0,0,0,0,1,0,366,1,0,0,0,34.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,26,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,1,0,0,0,67.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1,26,0,1,0,0,1,0,0,0,0,0,0,0,1,0,426,1,0,0,0,67.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,38,0,1,0,0,0,0,1,0,0,0,0,0,1,0,184,0,0,1,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,38,0,1,0,0,0,0,1,0,0,0,0,0,1,0,184,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,38,0,1,0,0,0,0,1,0,0,0,0,0,1,0,184,1,0,0,0,28.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,243,1,0,0,0,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,243,1,0,0,0,50.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,24,0,1,0,0,0,1,0,0,0,0,0,0,1,0,303,1,0,0,0,49.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,29,0,1,0,0,0,0,1,0,0,0,0,0,1,0,275,1,0,0,0,30.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,30,0,1,0,0,0,0,1,0,0,0,0,0,1,0,273,1,0,0,0,29.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,396,0,0,1,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,396,1,0,0,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,31,0,1,0,0,0,0,1,0,0,0,0,0,1,0,396,1,0,0,0,26.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,397,0,0,1,0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,397,0,1,0,0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,40,0,1,0,0,0,0,1,0,0,0,0,0,1,0,123,1,0,0,0,36.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,41,0,1,0,0,0,0,1,0,0,0,0,0,1,0,122,1,0,0,0,24.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,43,0,1,0,0,0,0,1,0,0,0,0,0,1,0,242,1,0,0,0,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,43,0,1,0,0,0,0,1,0,0,0,0,0,1,0,242,1,0,0,0,55.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,488,0,0,1,0,18.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,488,1,0,0,0,16.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,27,0,1,0,0,0,0,1,0,0,0,0,0,1,0,488,1,0,0,0,18.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,0,0,1,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,1,0,0,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,153,1,0,0,0,21.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
